메뉴명,구분,가격(원),제철(월),1회제공량(g),HOT여부(Y/N),Kcal,탄수화물(g),단백질(g),지방(g),중복방지태그,알러지번호
유산슬밥,rice,2040,,350,N,606,85,15,20,r45,
새우볶음밥,rice,2120,,350,N,565,85,15,20,r46,
가츠동,rice,1990,,350,N,649,85,15,20,r47,
규동,rice,2170,,350,N,653,85,15,20,r48,
오야꼬동,rice,1870,,350,N,593,85,15,20,r49,
텐동,rice,2180,,350,N,626,85,15,20,r50,
마요덮밥(참치),rice,2010,,350,N,550,85,15,20,r51,
마요덮밥(스팸),rice,1890,,350,N,649,85,15,20,r52,
봄동비빔밥,rice,2080,,350,N,631,85,15,20,r53,
산채비빔밥,rice,1810,,350,N,542,85,15,20,r54,
육회비빔밥,rice,1860,,350,N,659,85,15,20,r55,
돌솥비빔밥,rice,2000,,350,N,585,85,15,20,r56,
새싹비빔밥,rice,2010,,350,N,649,85,15,20,r57,
쌀밥,rice,530,,200,N,299,65,6,2,r58,
현미밥,rice,460,,200,N,279,65,6,2,r59,
흑미밥,rice,460,,200,N,308,65,6,2,r60,
잡곡밥,rice,530,,200,N,310,65,6,2,r61,
보리밥,rice,530,,200,N,319,65,6,2,r62,
기장밥,rice,490,,200,N,277,65,6,2,r63,
차조밥,rice,520,,200,N,284,65,6,2,r64,
수수밥,rice,540,,200,N,310,65,6,2,r65,
콩밥,rice,530,,200,N,323,65,6,2,r66,
완두콩밥,rice,510,,200,N,279,65,6,2,r67,
팥밥,rice,460,,200,N,309,65,6,2,r68,
영양굴밥,rice,450,,200,N,290,65,6,2,r69,
콩나물밥,rice,520,,200,N,311,65,6,2,r70,
무밥,rice,540,,200,N,277,65,6,2,r71,
버섯밥,rice,450,,200,N,291,65,6,2,r72,
곤드레밥,rice,490,,200,N,320,65,6,2,r73,
취나물밥,rice,520,,200,N,309,65,6,2,r74,
우엉밥,rice,490,,200,N,294,65,6,2,r75,
연잎밥,rice,450,,200,N,328,65,6,2,r76,
대나무통밥,rice,510,,200,N,292,65,6,2,r77,
김치볶음밥,rice,1500,,250,N,419,70,10,15,r78,
새우볶음밥,rice,1600,,250,N,462,70,10,15,r79,
계란볶음밥,rice,1520,,250,N,438,70,10,15,r80,
햄야채볶음밥,rice,1390,,250,N,424,70,10,15,r81,
마늘볶음밥,rice,1370,,250,N,454,70,10,15,r82,
카레볶음밥,rice,1370,,250,N,476,70,10,15,r83,
소고기볶음밥,rice,1350,,250,N,418,70,10,15,r84,
베이컨볶음밥,rice,1510,,250,N,418,70,10,15,r85,
참치볶음밥,rice,1420,,250,N,458,70,10,15,r86,
날치알볶음밥,rice,1390,,250,N,473,70,10,15,r87,
게살볶음밥,rice,1590,,250,N,480,70,10,15,r88,
파인애플볶음밥,rice,1430,,250,N,473,70,10,15,r89,
나시고랭,rice,1500,,250,N,437,70,10,15,r90,
마라볶음밥,rice,1460,,250,N,469,70,10,15,r91,
제육덮밥,rice,2110,,350,N,617,85,15,20,r92,
오징어덮밥,rice,1940,,350,N,586,85,15,20,r93,
낙지덮밥,rice,1990,,350,N,618,85,15,20,r94,
불고기덮밥,rice,2040,,350,N,563,85,15,20,r95,
마파두부덮밥,rice,1870,,350,N,647,85,15,20,r96,
카레라이스,rice,2140,,350,N,630,85,15,20,r97,
하이라이스,rice,1950,,350,N,589,85,15,20,r98,
짜장밥,rice,2110,,350,N,653,85,15,20,r99,
마파두부밥,rice,2000,,350,N,656,85,15,20,r100,
잡채밥,rice,2110,,350,N,579,85,15,20,r101,
유산슬밥,rice,2190,,350,N,613,85,15,20,r102,
새우볶음밥,rice,1860,,350,N,609,85,15,20,r103,
가츠동,rice,2000,,350,N,552,85,15,20,r104,
규동,rice,2130,,350,N,548,85,15,20,r105,
오야꼬동,rice,1850,,350,N,574,85,15,20,r106,
텐동,rice,2050,,350,N,595,85,15,20,r107,
마요덮밥(참치),rice,2050,,350,N,556,85,15,20,r108,
마요덮밥(스팸),rice,2100,,350,N,630,85,15,20,r109,
봄동비빔밥,rice,1810,,350,N,571,85,15,20,r110,
산채비빔밥,rice,1940,,350,N,583,85,15,20,r111,
육회비빔밥,rice,1980,,350,N,614,85,15,20,r112,
돌솥비빔밥,rice,1860,,350,N,601,85,15,20,r113,
새싹비빔밥,rice,2160,,350,N,657,85,15,20,r114,
쌀밥,rice,500,,200,N,288,65,6,2,r115,
현미밥,rice,480,,200,N,328,65,6,2,r116,
흑미밥,rice,510,,200,N,327,65,6,2,r117,
잡곡밥,rice,490,,200,N,292,65,6,2,r118,
보리밥,rice,450,,200,N,293,65,6,2,r119,
기장밥,rice,540,,200,N,327,65,6,2,r120,
차조밥,rice,540,,200,N,315,65,6,2,r121,
수수밥,rice,470,,200,N,309,65,6,2,r122,
콩밥,rice,450,,200,N,273,65,6,2,r123,
완두콩밥,rice,540,,200,N,315,65,6,2,r124,
팥밥,rice,510,,200,N,316,65,6,2,r125,
영양굴밥,rice,520,,200,N,305,65,6,2,r126,
콩나물밥,rice,480,,200,N,295,65,6,2,r127,
무밥,rice,450,,200,N,294,65,6,2,r128,
버섯밥,rice,510,,200,N,307,65,6,2,r129,
곤드레밥,rice,540,,200,N,289,65,6,2,r130,
취나물밥,rice,470,,200,N,311,65,6,2,r131,
우엉밥,rice,490,,200,N,306,65,6,2,r132,
연잎밥,rice,530,,200,N,274,65,6,2,r133,
대나무통밥,rice,460,,200,N,290,65,6,2,r134,
김치볶음밥,rice,1520,,250,N,482,70,10,15,r135,
새우볶음밥,rice,1520,,250,N,494,70,10,15,r136,
계란볶음밥,rice,1510,,250,N,456,70,10,15,r137,
햄야채볶음밥,rice,1470,,250,N,411,70,10,15,r138,
마늘볶음밥,rice,1550,,250,N,435,70,10,15,r139,
카레볶음밥,rice,1530,,250,N,482,70,10,15,r140,
소고기볶음밥,rice,1420,,250,N,470,70,10,15,r141,
베이컨볶음밥,rice,1420,,250,N,455,70,10,15,r142,
참치볶음밥,rice,1520,,250,N,494,70,10,15,r143,
날치알볶음밥,rice,1400,,250,N,454,70,10,15,r144,
게살볶음밥,rice,1630,,250,N,492,70,10,15,r145,
파인애플볶음밥,rice,1460,,250,N,490,70,10,15,r146,
나시고랭,rice,1440,,250,N,440,70,10,15,r147,
마라볶음밥,rice,1540,,250,N,409,70,10,15,r148,
제육덮밥,rice,2170,,350,N,659,85,15,20,r149,
오징어덮밥,rice,1970,,350,N,564,85,15,20,r150,
낙지덮밥,rice,1920,,350,N,632,85,15,20,r151,
불고기덮밥,rice,2080,,350,N,642,85,15,20,r152,
마파두부덮밥,rice,2000,,350,N,581,85,15,20,r153,
카레라이스,rice,1860,,350,N,596,85,15,20,r154,
하이라이스,rice,2010,,350,N,544,85,15,20,r155,
짜장밥,rice,2060,,350,N,638,85,15,20,r156,
마파두부밥,rice,2160,,350,N,654,85,15,20,r157,
잡채밥,rice,2070,,350,N,623,85,15,20,r158,
유산슬밥,rice,1830,,350,N,553,85,15,20,r159,
새우볶음밥,rice,2190,,350,N,646,85,15,20,r160,
가츠동,rice,1990,,350,N,603,85,15,20,r161,
규동,rice,2100,,350,N,573,85,15,20,r162,
오야꼬동,rice,1820,,350,N,636,85,15,20,r163,
텐동,rice,2190,,350,N,596,85,15,20,r164,
마요덮밥(참치),rice,2100,,350,N,619,85,15,20,r165,
마요덮밥(스팸),rice,2120,,350,N,577,85,15,20,r166,
봄동비빔밥,rice,1980,,350,N,586,85,15,20,r167,
산채비빔밥,rice,1920,,350,N,621,85,15,20,r168,
육회비빔밥,rice,2030,,350,N,605,85,15,20,r169,
돌솥비빔밥,rice,2070,,350,N,606,85,15,20,r170,
새싹비빔밥,rice,2000,,350,N,588,85,15,20,r171,
된장찌개,soup,850,,250,N,145,10,8,5,s172,
김치찌개,soup,810,,250,N,164,10,8,5,s173,
순두부찌개,soup,810,,250,N,139,10,8,5,s174,
부대찌개,soup,870,,250,N,158,10,8,5,s175,
동태찌개,soup,780,,250,N,145,10,8,5,s176,
참치김치찌개,soup,800,,250,N,140,10,8,5,s177,
돼지고기김치찌개,soup,860,,250,N,137,10,8,5,s178,
차돌된장찌개,soup,810,,250,N,148,10,8,5,s179,
해물된장찌개,soup,730,,250,N,153,10,8,5,s180,
청국장,soup,730,,250,N,142,10,8,5,s181,
비지찌개,soup,790,,250,N,159,10,8,5,s182,
고추장찌개,soup,830,,250,N,161,10,8,5,s183,
애호박찌개,soup,860,,250,N,146,10,8,5,s184,
콩나물국,soup,540,,250,N,84,10,5,2,s185,
무국,soup,480,,250,N,73,10,5,2,s186,
소고기무국,soup,450,,250,N,81,10,5,2,s187,
미역국,soup,450,,250,N,86,10,5,2,s188,
소고기미역국,soup,460,,250,N,87,10,5,2,s189,
홍합미역국,soup,470,,250,N,75,10,5,2,s190,
조개미역국,soup,530,,250,N,85,10,5,2,s191,
황태국,soup,540,,250,N,78,10,5,2,s192,
북어국,soup,540,,250,N,72,10,5,2,s193,
시금치국,soup,510,,250,N,81,10,5,2,s194,
아욱국,soup,520,,250,N,72,10,5,2,s195,
근대국,soup,540,,250,N,87,10,5,2,s196,
배추국,soup,470,,250,N,86,10,5,2,s197,
얼갈이된장국,soup,450,,250,N,83,10,5,2,s198,
어묵국,soup,500,,250,N,79,10,5,2,s199,
계란국,soup,540,,250,N,78,10,5,2,s200,
만두국,soup,500,,250,N,82,10,5,2,s201,
떡국,soup,530,,250,N,73,10,5,2,s202,
떡만두국,soup,450,,250,N,73,10,5,2,s203,
수제비국,soup,500,,250,N,85,10,5,2,s204,
칼국수,soup,520,,250,N,81,10,5,2,s205,
우동국물,soup,480,,250,N,85,10,5,2,s206,
잔치국수,soup,480,,250,N,76,10,5,2,s207,
맑은감자국,soup,460,,250,N,84,10,5,2,s208,
맑은순두부국,soup,490,,250,N,82,10,5,2,s209,
재첩국,soup,470,,250,N,73,10,5,2,s210,
올갱이국,soup,480,,250,N,80,10,5,2,s211,
육개장,soup,2710,,300,N,357,20,15,15,s212,
닭개장,soup,2430,,300,N,352,20,15,15,s213,
갈비탕,soup,2670,,300,N,322,20,15,15,s214,
설렁탕,soup,2710,,300,N,368,20,15,15,s215,
곰탕,soup,2360,,300,N,330,20,15,15,s216,
꼬리곰탕,soup,2610,,300,N,344,20,15,15,s217,
도가니탕,soup,2710,,300,N,351,20,15,15,s218,
삼계탕,soup,2490,,300,N,380,20,15,15,s219,
반계탕,soup,2420,,300,N,334,20,15,15,s220,
오리탕,soup,2360,,300,N,374,20,15,15,s221,
추어탕,soup,2250,,300,N,354,20,15,15,s222,
감자탕,soup,2600,,300,N,336,20,15,15,s223,
뼈해장국,soup,2520,,300,N,382,20,15,15,s224,
순대국,soup,2460,,300,N,372,20,15,15,s225,
돼지국밥,soup,2440,,300,N,318,20,15,15,s226,
소머리국밥,soup,2300,,300,N,358,20,15,15,s227,
선지해장국,soup,2570,,300,N,325,20,15,15,s228,
우거지해장국,soup,2740,,300,N,336,20,15,15,s229,
마라탕,soup,2470,,300,N,321,20,15,15,s230,
짬뽕국,soup,2410,,300,N,322,20,15,15,s231,
마라짬뽕,soup,2250,,300,N,362,20,15,15,s232,
나가사키짬뽕,soup,2570,,300,N,315,20,15,15,s233,
크림스프,soup,940,,200,N,217,15,5,10,s234,
양송이스프,soup,960,,200,N,206,15,5,10,s235,
콘스프,soup,1080,,200,N,204,15,5,10,s236,
단호박스프,soup,1060,,200,N,194,15,5,10,s237,
브로콜리스프,soup,900,,200,N,208,15,5,10,s238,
토마토스프,soup,920,,200,N,180,15,5,10,s239,
어니언스프,soup,960,,200,N,192,15,5,10,s240,
클램차우더,soup,1040,,200,N,190,15,5,10,s241,
굴라쉬,soup,1060,,200,N,184,15,5,10,s242,
토마토스튜,soup,1040,,200,N,182,15,5,10,s243,
비프스튜,soup,1000,,200,N,203,15,5,10,s244,
해산물차우더,soup,1000,,200,N,192,15,5,10,s245,
단호박크림스프,soup,980,,200,N,189,15,5,10,s246,
감자스프,soup,1080,,200,N,194,15,5,10,s247,
된장찌개,soup,740,,250,N,143,10,8,5,s248,
김치찌개,soup,720,,250,N,142,10,8,5,s249,
순두부찌개,soup,830,,250,N,158,10,8,5,s250,
부대찌개,soup,740,,250,N,137,10,8,5,s251,
동태찌개,soup,810,,250,N,138,10,8,5,s252,
참치김치찌개,soup,770,,250,N,136,10,8,5,s253,
돼지고기김치찌개,soup,740,,250,N,159,10,8,5,s254,
차돌된장찌개,soup,790,,250,N,163,10,8,5,s255,
해물된장찌개,soup,780,,250,N,138,10,8,5,s256,
청국장,soup,760,,250,N,144,10,8,5,s257,
비지찌개,soup,740,,250,N,162,10,8,5,s258,
고추장찌개,soup,860,,250,N,163,10,8,5,s259,
애호박찌개,soup,860,,250,N,164,10,8,5,s260,
콩나물국,soup,490,,250,N,86,10,5,2,s261,
무국,soup,480,,250,N,72,10,5,2,s262,
소고기무국,soup,490,,250,N,78,10,5,2,s263,
미역국,soup,520,,250,N,85,10,5,2,s264,
소고기미역국,soup,460,,250,N,83,10,5,2,s265,
홍합미역국,soup,500,,250,N,81,10,5,2,s266,
조개미역국,soup,450,,250,N,84,10,5,2,s267,
황태국,soup,520,,250,N,77,10,5,2,s268,
북어국,soup,470,,250,N,78,10,5,2,s269,
시금치국,soup,480,,250,N,75,10,5,2,s270,
아욱국,soup,500,,250,N,87,10,5,2,s271,
근대국,soup,470,,250,N,74,10,5,2,s272,
배추국,soup,460,,250,N,73,10,5,2,s273,
얼갈이된장국,soup,480,,250,N,81,10,5,2,s274,
어묵국,soup,520,,250,N,84,10,5,2,s275,
계란국,soup,460,,250,N,78,10,5,2,s276,
만두국,soup,530,,250,N,85,10,5,2,s277,
떡국,soup,540,,250,N,77,10,5,2,s278,
떡만두국,soup,540,,250,N,79,10,5,2,s279,
수제비국,soup,490,,250,N,78,10,5,2,s280,
칼국수,soup,530,,250,N,81,10,5,2,s281,
우동국물,soup,480,,250,N,78,10,5,2,s282,
잔치국수,soup,480,,250,N,77,10,5,2,s283,
맑은감자국,soup,530,,250,N,78,10,5,2,s284,
맑은순두부국,soup,530,,250,N,74,10,5,2,s285,
재첩국,soup,480,,250,N,77,10,5,2,s286,
올갱이국,soup,500,,250,N,75,10,5,2,s287,
육개장,soup,2680,,300,N,374,20,15,15,s288,
닭개장,soup,2540,,300,N,333,20,15,15,s289,
갈비탕,soup,2260,,300,N,328,20,15,15,s290,
설렁탕,soup,2650,,300,N,339,20,15,15,s291,
곰탕,soup,2600,,300,N,381,20,15,15,s292,
꼬리곰탕,soup,2580,,300,N,361,20,15,15,s293,
도가니탕,soup,2530,,300,N,331,20,15,15,s294,
삼계탕,soup,2310,,300,N,381,20,15,15,s295,
반계탕,soup,2530,,300,N,349,20,15,15,s296,
오리탕,soup,2420,,300,N,340,20,15,15,s297,
추어탕,soup,2450,,300,N,319,20,15,15,s298,
감자탕,soup,2400,,300,N,366,20,15,15,s299,
뼈해장국,soup,2600,,300,N,317,20,15,15,s300,
순대국,soup,2320,,300,N,332,20,15,15,s301,
돼지국밥,soup,2330,,300,N,377,20,15,15,s302,
소머리국밥,soup,2470,,300,N,340,20,15,15,s303,
선지해장국,soup,2380,,300,N,322,20,15,15,s304,
우거지해장국,soup,2410,,300,N,363,20,15,15,s305,
마라탕,soup,2700,,300,N,325,20,15,15,s306,
짬뽕국,soup,2460,,300,N,317,20,15,15,s307,
마라짬뽕,soup,2590,,300,N,379,20,15,15,s308,
나가사키짬뽕,soup,2650,,300,N,345,20,15,15,s309,
크림스프,soup,980,,200,N,209,15,5,10,s310,
양송이스프,soup,1030,,200,N,187,15,5,10,s311,
콘스프,soup,1060,,200,N,181,15,5,10,s312,
단호박스프,soup,1070,,200,N,203,15,5,10,s313,
브로콜리스프,soup,1070,,200,N,191,15,5,10,s314,
토마토스프,soup,930,,200,N,190,15,5,10,s315,
어니언스프,soup,940,,200,N,191,15,5,10,s316,
클램차우더,soup,1020,,200,N,190,15,5,10,s317,
굴라쉬,soup,920,,200,N,198,15,5,10,s318,
토마토스튜,soup,1030,,200,N,194,15,5,10,s319,
비프스튜,soup,1060,,200,N,187,15,5,10,s320,
해산물차우더,soup,1050,,200,N,195,15,5,10,s321,
단호박크림스프,soup,1080,,200,N,219,15,5,10,s322,
감자스프,soup,930,,200,N,185,15,5,10,s323,
된장찌개,soup,810,,250,N,139,10,8,5,s324,
김치찌개,soup,740,,250,N,157,10,8,5,s325,
순두부찌개,soup,780,,250,N,139,10,8,5,s326,
부대찌개,soup,840,,250,N,161,10,8,5,s327,
동태찌개,soup,870,,250,N,159,10,8,5,s328,
참치김치찌개,soup,750,,250,N,159,10,8,5,s329,
돼지고기김치찌개,soup,820,,250,N,148,10,8,5,s330,
차돌된장찌개,soup,830,,250,N,154,10,8,5,s331,
해물된장찌개,soup,780,,250,N,160,10,8,5,s332,
청국장,soup,720,,250,N,160,10,8,5,s333,
비지찌개,soup,810,,250,N,163,10,8,5,s334,
고추장찌개,soup,780,,250,N,139,10,8,5,s335,
애호박찌개,soup,750,,250,N,142,10,8,5,s336,
콩나물국,soup,500,,250,N,83,10,5,2,s337,
무국,soup,510,,250,N,80,10,5,2,s338,
소고기무국,soup,450,,250,N,83,10,5,2,s339,
미역국,soup,520,,250,N,77,10,5,2,s340,
소고기미역국,soup,520,,250,N,78,10,5,2,s341,
홍합미역국,soup,470,,250,N,77,10,5,2,s342,
조개미역국,soup,540,,250,N,78,10,5,2,s343,
황태국,soup,530,,250,N,80,10,5,2,s344,
북어국,soup,490,,250,N,80,10,5,2,s345,
시금치국,soup,530,,250,N,77,10,5,2,s346,
아욱국,soup,490,,250,N,87,10,5,2,s347,
근대국,soup,520,,250,N,82,10,5,2,s348,
배추국,soup,520,,250,N,80,10,5,2,s349,
얼갈이된장국,soup,540,,250,N,85,10,5,2,s350,
어묵국,soup,490,,250,N,82,10,5,2,s351,
계란국,soup,500,,250,N,77,10,5,2,s352,
만두국,soup,470,,250,N,82,10,5,2,s353,
떡국,soup,520,,250,N,81,10,5,2,s354,
떡만두국,soup,480,,250,N,72,10,5,2,s355,
수제비국,soup,450,,250,N,83,10,5,2,s356,
칼국수,soup,520,,250,N,80,10,5,2,s357,
우동국물,soup,540,,250,N,84,10,5,2,s358,
잔치국수,soup,480,,250,N,76,10,5,2,s359,
맑은감자국,soup,500,,250,N,77,10,5,2,s360,
맑은순두부국,soup,520,,250,N,83,10,5,2,s361,
재첩국,soup,480,,250,N,80,10,5,2,s362,
올갱이국,soup,480,,250,N,76,10,5,2,s363,
육개장,soup,2660,,300,N,346,20,15,15,s364,
닭개장,soup,2590,,300,N,378,20,15,15,s365,
갈비탕,soup,2330,,300,N,361,20,15,15,s366,
설렁탕,soup,2490,,300,N,360,20,15,15,s367,
곰탕,soup,2730,,300,N,356,20,15,15,s368,
꼬리곰탕,soup,2700,,300,N,336,20,15,15,s369,
도가니탕,soup,2590,,300,N,350,20,15,15,s370,
삼계탕,soup,2300,,300,N,318,20,15,15,s371,
반계탕,soup,2570,,300,N,333,20,15,15,s372,
오리탕,soup,2590,,300,N,351,20,15,15,s373,
추어탕,soup,2670,,300,N,338,20,15,15,s374,
감자탕,soup,2280,,300,N,370,20,15,15,s375,
뼈해장국,soup,2330,,300,N,380,20,15,15,s376,
순대국,soup,2520,,300,N,343,20,15,15,s377,
돼지국밥,soup,2260,,300,N,338,20,15,15,s378,
소머리국밥,soup,2440,,300,N,325,20,15,15,s379,
선지해장국,soup,2320,,300,N,352,20,15,15,s380,
우거지해장국,soup,2270,,300,N,370,20,15,15,s381,
마라탕,soup,2390,,300,N,345,20,15,15,s382,
짬뽕국,soup,2540,,300,N,371,20,15,15,s383,
마라짬뽕,soup,2590,,300,N,378,20,15,15,s384,
나가사키짬뽕,soup,2570,,300,N,381,20,15,15,s385,
크림스프,soup,980,,200,N,188,15,5,10,s386,
양송이스프,soup,980,,200,N,215,15,5,10,s387,
콘스프,soup,960,,200,N,180,15,5,10,s388,
단호박스프,soup,1070,,200,N,205,15,5,10,s389,
브로콜리스프,soup,990,,200,N,190,15,5,10,s390,
토마토스프,soup,970,,200,N,181,15,5,10,s391,
어니언스프,soup,1060,,200,N,210,15,5,10,s392,
클램차우더,soup,940,,200,N,205,15,5,10,s393,
굴라쉬,soup,1060,,200,N,212,15,5,10,s394,
토마토스튜,soup,970,,200,N,185,15,5,10,s395,
비프스튜,soup,1040,,200,N,213,15,5,10,s396,
해산물차우더,soup,970,,200,N,214,15,5,10,s397,
단호박크림스프,soup,1000,,200,N,215,15,5,10,s398,
감자스프,soup,920,,200,N,212,15,5,10,s399,
제육볶음,main1,2320,,150,N,433,20,25,20,m400,
간장제육볶음,main1,2480,,150,N,463,20,25,20,m401,
고추장불고기,main1,2280,,150,N,438,20,25,20,m402,
간장불고기,main1,2460,,150,N,488,20,25,20,m403,
소불고기,main1,2510,,150,N,453,20,25,20,m404,
뚝배기불고기,main1,2720,,150,N,472,20,25,20,m405,
돼지갈비찜,main1,2700,,150,N,440,20,25,20,m406,
소갈비찜,main1,2470,,150,N,423,20,25,20,m407,
매운갈비찜,main1,2490,,150,N,457,20,25,20,m408,
닭갈비,main1,2470,,150,N,480,20,25,20,m409,
치즈닭갈비,main1,2690,,150,N,487,20,25,20,m410,
찜닭,main1,2420,,150,N,481,20,25,20,m411,
안동찜닭,main1,2300,,150,N,434,20,25,20,m412,
매운찜닭,main1,2740,,150,N,462,20,25,20,m413,
로제찜닭,main1,2580,,150,N,443,20,25,20,m414,
닭도리탕,main1,2510,,150,N,487,20,25,20,m415,
닭볶음탕,main1,2520,,150,N,417,20,25,20,m416,
묵은지닭볶음탕,main1,2680,,150,N,465,20,25,20,m417,
수육,main1,2680,,150,N,420,20,25,20,m418,
보쌈,main1,2460,,150,N,426,20,25,20,m419,
족발,main1,2310,,150,N,493,20,25,20,m420,
불족발,main1,2590,,150,N,470,20,25,20,m421,
동파육,main1,2400,,150,N,468,20,25,20,m422,
탕수육,main1,2370,,150,N,471,20,25,20,m423,
사천탕수육,main1,2480,,150,N,437,20,25,20,m424,
꿔바로우,main1,2520,,150,N,415,20,25,20,m425,
유린기,main1,2560,,150,N,456,20,25,20,m426,
깐풍기,main1,2290,,150,N,457,20,25,20,m427,
라조기,main1,2380,,150,N,424,20,25,20,m428,
고추잡채,main1,2720,,150,N,408,20,25,20,m429,
마파두부,main1,2330,,150,N,413,20,25,20,m430,
돈까스,main1,2400,,150,N,442,20,25,20,m431,
치즈돈까스,main1,2350,,150,N,429,20,25,20,m432,
고구마치즈돈까스,main1,2400,,150,N,494,20,25,20,m433,
생선까스,main1,2370,,150,N,443,20,25,20,m434,
치킨까스,main1,2390,,150,N,444,20,25,20,m435,
함박스테이크,main1,2290,,150,N,458,20,25,20,m436,
미트볼,main1,2670,,150,N,440,20,25,20,m437,
찹스테이크,main1,2590,,150,N,425,20,25,20,m438,
돈까스나베,main1,2690,,150,N,461,20,25,20,m439,
가츠나베,main1,2540,,150,N,484,20,25,20,m440,
김치돈까스나베,main1,2590,,150,N,457,20,25,20,m441,
분짜,main1,2490,,150,N,426,20,25,20,m442,
반미,main1,2620,,150,N,407,20,25,20,m443,
타코,main1,2270,,150,N,453,20,25,20,m444,
화이타,main1,2310,,150,N,433,20,25,20,m445,
브리또,main1,2610,,150,N,407,20,25,20,m446,
퀘사디아,main1,2560,,150,N,411,20,25,20,m447,
바베큐폭립,main1,2310,,150,N,492,20,25,20,m448,
오징어볶음,main1,1890,,120,N,305,15,20,15,m449,
낙지볶음,main1,2070,,120,N,274,15,20,15,m450,
주꾸미볶음,main1,1930,,120,N,308,15,20,15,m451,
해물찜,main1,2140,,120,N,319,15,20,15,m452,
아구찜,main1,2170,,120,N,270,15,20,15,m453,
코다리찜,main1,1930,,120,N,314,15,20,15,m454,
고등어조림,main1,2190,,120,N,320,15,20,15,m455,
갈치조림,main1,2140,,120,N,289,15,20,15,m456,
꽁치조림,main1,2150,,120,N,316,15,20,15,m457,
가자미조림,main1,1820,,120,N,316,15,20,15,m458,
삼치조림,main1,2080,,120,N,296,15,20,15,m459,
고등어구이,main1,2060,,120,N,290,15,20,15,m460,
갈치구이,main1,2180,,120,N,321,15,20,15,m461,
꽁치구이,main1,1830,,120,N,293,15,20,15,m462,
가자미구이,main1,2070,,120,N,322,15,20,15,m463,
삼치구이,main1,2070,,120,N,272,15,20,15,m464,
조기구이,main1,1860,,120,N,325,15,20,15,m465,
굴비구이,main1,2130,,120,N,289,15,20,15,m466,
연어구이,main1,1930,,120,N,312,15,20,15,m467,
장어구이,main1,2140,,120,N,303,15,20,15,m468,
새우튀김,main1,1830,,120,N,290,15,20,15,m469,
오징어튀김,main1,1890,,120,N,319,15,20,15,m470,
김말이튀김,main1,1890,,120,N,301,15,20,15,m471,
고구마튀김,main1,2080,,120,N,301,15,20,15,m472,
야채튀김,main1,1860,,120,N,282,15,20,15,m473,
단호박튀김,main1,1800,,120,N,316,15,20,15,m474,
모둠튀김,main1,1880,,120,N,296,15,20,15,m475,
깐쇼새우,main1,1850,,120,N,274,15,20,15,m476,
